Cadao,Mean
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
Ăn quả nhớ kẻ trồng cây,Biết ơn người đã tạo ra thành quả cho mình hưởng.
Tốt gỗ hơn tốt nước sơn,Chất lượng bên trong quan trọng hơn vẻ bề ngoài.
Một con ngựa đau cả tàu bỏ cỏ,"Tinh thần đoàn kết, cùng chia sẻ khó khăn."
Uống nước nhớ nguồn,Luôn ghi nhớ công ơn người đi trước.
"Gần mực thì đen, gần đèn thì sáng",Môi trường sống ảnh hưởng đến tính cách con người.
Có công mài sắt có ngày nên kim,Kiên trì sẽ dẫn đến thành công.
Ăn no vác nặng,Làm việc sau khi đã chuẩn bị đầy đủ.
Lá lành đùm lá rách,"Tương thân tương ái, giúp đỡ lẫn nhau."
Cha mẹ sinh con trời sinh tính,Tính cách mỗi người là bẩm sinh.
Cá không ăn muối cá ươn,Không nghe lời khuyên bảo sẽ gặp hậu quả.
